"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","test_add_one_coffee[chromium-Mocha-$8.00]","tests","Thu Jan 29 17:20:40 UTC 2026","passed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#001","",""
"","161","test_add_two_coffees[chromium-Espresso-Mocha-$110.00-$8.00]","tests","Thu Jan 29 17:20:40 UTC 2026","failed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#001","",""
"","144","test_api_negative[chromium]","tests","Thu Jan 29 17:20:40 UTC 2026","passed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#005","",""
"","87","test_add_two_coffees[chromium-Espresso-Cappuccino-$110.00-$19.00]","tests","Thu Jan 29 17:20:39 UTC 2026","failed","Thu Jan 29 17:20:39 UTC 2026","","test_TC#001","",""
"","651","test_events_3[chromium]","tests","Thu Jan 29 17:20:38 UTC 2026","passed","Thu Jan 29 17:20:39 UTC 2026","","test_TC#003","",""
"","187","test_add_two_coffees[chromium-Espresso-Cafe Latte-$110.00-$16.00]","tests","Thu Jan 29 17:20:40 UTC 2026","failed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#001","",""
"","96","test_add_one_coffee[chromium-Espresso-$110.00]","tests","Thu Jan 29 17:20:38 UTC 2026","failed","Thu Jan 29 17:20:38 UTC 2026","","test_TC#001","",""
"","282","test_intercept_500[chromium]","tests","Thu Jan 29 17:20:39 UTC 2026","passed","Thu Jan 29 17:20:39 UTC 2026","","test_TC#002","",""
"","199","test_api_positive[chromium]","tests","Thu Jan 29 17:20:39 UTC 2026","passed","Thu Jan 29 17:20:39 UTC 2026","","test_TC#005","",""
"","175","test_events_2[chromium]","tests","Thu Jan 29 17:20:40 UTC 2026","passed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#003","",""
"","272","test_events_4[chromium]","tests","Thu Jan 29 17:20:39 UTC 2026","passed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#003","",""
"","178","test_add_two_coffees[chromium-Cappuccino-Americano-$19.00-$7.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","891","test_events_1[chromium]","tests","Thu Jan 29 17:20:38 UTC 2026","passed","Thu Jan 29 17:20:39 UTC 2026","","test_TC#003","",""
"","174","test_add_two_coffees[chromium-Cappuccino-Cafe Latte-$19.00-$16.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","162","test_add_two_coffees[chromium-Espresso-Americano-$110.00-$7.00]","tests","Thu Jan 29 17:20:41 UTC 2026","failed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","178","test_add_two_coffees[chromium-Cafe Latte-Americano-$16.00-$7.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","181","test_add_two_coffees[chromium-Mocha-Americano-$8.00-$7.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:42 UTC 2026","","test_TC#001","",""
"","90","test_add_one_coffee[chromium-Americano-$7.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","134","test_add_one_coffee[chromium-Cafe Latte-$16.00]","tests","Thu Jan 29 17:20:40 UTC 2026","passed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#001","",""
"","146","test_add_two_coffees[chromium-Cappuccino-Mocha-$19.00-$8.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","298","test_intercept_200[chromium]","tests","Thu Jan 29 17:20:38 UTC 2026","passed","Thu Jan 29 17:20:39 UTC 2026","","test_TC#002","",""
"","201","test_add_two_coffees[chromium-Cafe Latte-Mocha-$16.00-$8.00]","tests","Thu Jan 29 17:20:41 UTC 2026","passed","Thu Jan 29 17:20:41 UTC 2026","","test_TC#001","",""
"","80","test_add_one_coffee[chromium-Cappuccino-$19.00]","tests","Thu Jan 29 17:20:40 UTC 2026","passed","Thu Jan 29 17:20:40 UTC 2026","","test_TC#001","",""
